environment,evidence_family,state,source_ids,correlation_group,review_status,notes
Veneto,northern_italian_herbal_imagery,,,,researching,
Veneto,german_alemannic_visual_material,,,,researching,
Veneto,greek_manuscript_access,,,,researching,
Veneto,medical_pharmaceutical_culture,,,,researching,
Veneto,balneology,,,,researching,
Veneto,cosmography_geography,,,,researching,
Veneto,technical_drawing,,,,researching,
Veneto,artificial_cipher_writing,,,,researching,
Veneto,mobile_people,,,,researching,
Veneto,book_production_environment,,,,researching,
Siena,northern_italian_herbal_imagery,,,,researching,
Siena,german_alemannic_visual_material,,,,researching,
Siena,greek_manuscript_access,,,,researching,
Siena,medical_pharmaceutical_culture,,,,researching,
Siena,balneology,,,,researching,
Siena,cosmography_geography,,,,researching,
Siena,technical_drawing,,,,researching,
Siena,artificial_cipher_writing,,,,researching,
Siena,mobile_people,,,,researching,
Siena,book_production_environment,,,,researching,
Southern_Germany,northern_italian_herbal_imagery,,,,researching,
Southern_Germany,german_alemannic_visual_material,,,,researching,
Southern_Germany,greek_manuscript_access,,,,researching,
Southern_Germany,medical_pharmaceutical_culture,,,,researching,
Southern_Germany,balneology,,,,researching,
Southern_Germany,cosmography_geography,,,,researching,
Southern_Germany,technical_drawing,,,,researching,
Southern_Germany,artificial_cipher_writing,,,,researching,
Southern_Germany,mobile_people,,,,researching,
Southern_Germany,book_production_environment,,,,researching,

